YYMMDDHHMI,STN,WD,WS,GST,VS,RVR1,RVR2,WC,CA,CA1,CT1,CH1,CA2,CT2,CH2,CA3,CT3,CH3,CA4,CT4,CH4,TA,TD,HM,PA,PS,RN
202401021700,113,240,4,-9,10000,-9,-9,-9,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.7,-2.6,6.3,1021.3,1022.1,-9.0
202401021800,113,240,2,-9,10000,-9,-9,-9,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.3,-2.7,6.5,1021.3,1022.2,-9.0
202401021900,113,40,1,-9,10000,-9,-9,-9,7,6,6,3500,7,0,20000,-9,-9,-9,-9,-9,-9,2.7,-2.3,7.0,1021.2,1022.1,-9.0
202401022000,113,330,1,-9,10000,-9,-9,-9,7,2,6,4000,7,0,18000,-9,-9,-9,-9,-9,-9,2.0,-2.0,7.5,1021.3,1022.2,-9.0
202401022100,113,340,1,-9,10000,-9,-9,-9,7,3,6,4000,7,0,17000,-9,-9,-9,-9,-9,-9,1.9,-2.1,7.5,1021.3,1022.2,-9.0
202401022200,113,320,1,-9,10000,-9,-9,-9,7,2,6,4000,7,0,17000,-9,-9,-9,-9,-9,-9,1.8,-1.6,7.8,1020.9,1021.8,-9.0
202401022300,113,320,6,-9,10000,-9,-9,-9,7,2,6,4000,7,0,17000,-9,-9,-9,-9,-9,-9,2.5,-0.9,7.8,1020.7,1021.6,-9.0
202401030000,113,330,5,-9,10000,-9,-9,-9,7,5,6,4000,7,0,17000,-9,-9,-9,-9,-9,-9,2.5,-0.5,8.1,1020.5,1021.4,-9.0
202401030100,113,330,3,-9,10000,-9,-9,-9,7,6,6,4000,7,0,17000,-9,-9,-9,-9,-9,-9,2.8,-0.2,8.1,1020.2,1021.1,-9.0
202401030200,113,350,2,-9,10000,-9,-9,-9,7,6,6,4000,7,0,17000,-9,-9,-9,-9,-9,-9,2.8,0.0,8.2,1019.7,1020.6,-9.0
202401030300,113,50,2,-9,10000,-9,-9,-9,7,6,6,3500,7,0,17000,-9,-9,-9,-9,-9,-9,2.9,-0.2,8.0,1019.6,1020.5,-9.0
202401030400,113,30,1,-9,10000,-9,-9,-9,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.4,-0.2,8.3,1019.2,1020.1,-9.0
202401030500,113,90,1,-9,10000,-9,-9,-9,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.3,0.1,8.5,1018.7,1019.6,-9.0
202401030600,113,20,1,-9,10000,-9,-9,60,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.1,0.2,8.7,1018.6,1019.4,0.0
202401030700,113,40,1,-9,9000,-9,-9,61,7,7,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.2,0.6,8.9,1018.5,1019.4,0.0
202401030800,113,340,1,-9,8000,-9,-9,60,7,2,7,1500,7,6,2500,-9,-9,-9,-9,-9,-9,2.3,1.1,9.2,1018.7,1019.6,0.0
202401030900,113,50,2,-9,7000,-9,-9,10,7,7,6,4500,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.4,1.1,9.1,1019.0,1019.9,0.1
202401031000,113,120,4,-9,6000,-9,-9,10,7,7,6,5500,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.2,1.2,8.7,1018.7,1019.6,-9.0
202401031100,113,210,4,-9,6000,-9,-9,10,7,5,6,2500,7,6,6000,-9,-9,-9,-9,-9,-9,4.1,1.5,8.3,1018.6,1019.5,-9.0
202401031200,113,270,4,-9,6000,-9,-9,10,7,5,6,3000,7,6,5000,-9,-9,-9,-9,-9,-9,5.2,1.4,7.6,1018.2,1019.0,-9.0
202401031300,113,290,7,-9,5000,-9,-9,60,8,4,7,1700,5,6,2500,8,4,6500,-9,-9,-9,5.1,1.7,7.9,1017.7,1018.6,0.0
202401031400,113,330,7,-9,5000,-9,-9,10,5,1,7,1200,5,6,3000,-9,-9,-9,-9,-9,-9,4.2,1.7,8.4,1017.6,1018.5,-9.0
202401031500,113,320,10,-9,7000,-9,-9,10,7,3,7,1200,7,6,5000,-9,-9,-9,-9,-9,-9,3.8,0.9,8.1,1018.0,1018.9,-9.0
202401031600,113,320,9,-9,10000,-9,-9,-9,5,1,7,1300,5,6,3500,-9,-9,-9,-9,-9,-9,3.3,0.1,7.9,1018.6,1019.5,-9.0
202401031700,113,310,6,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.2,-0.3,8.3,1019.2,1020.1,-9.0
202401031800,113,320,10,-9,9000,-9,-9,10,1,1,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.9,-3.0,7.0,1020.0,1020.9,-9.0
202401031900,113,310,9,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.7,-3.5,6.9,1020.7,1021.6,-9.0
202401032000,113,320,14,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.6,-6.0,5.7,1021.1,1022.0,-9.0
202401032100,113,320,11,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.0,-4.9,6.5,1021.6,1022.5,-9.0
202401032200,113,320,9,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.1,-5.5,6.7,1022.1,1022.9,-9.0
202401032300,113,320,7,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.8,-5.5,7.0,1022.1,1023.0,-9.0
202401040000,113,320,6,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.8,-5.4,7.1,1022.3,1023.1,-9.0
202401040100,113,330,4,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.9,-4.3,7.8,1022.4,1023.3,-9.0
202401040200,113,310,3,-9,8000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.7,-4.6,8.1,1022.6,1023.5,-9.0
202401040300,113,10,2,-9,8000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.2,-3.8,8.3,1022.4,1023.3,-9.0
202401040400,113,50,2,-9,6000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-3.0,-4.5,8.9,1022.2,1023.1,-9.0
202401040500,113,70,2,-9,6000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-2.6,-3.9,9.1,1022.3,1023.1,-9.0
202401040600,113,130,3,-9,6000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-3.5,-5.1,8.8,1022.6,1023.5,-9.0
202401040700,113,90,5,-9,7000,-9,-9,10,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.5,-4.5,7.4,1022.8,1023.7,-9.0
202401040800,113,120,5,-9,7000,-9,-9,5,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.1,-4.5,7.2,1023.2,1024.0,-9.0
202401040900,113,140,6,-9,8000,-9,-9,10,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.6,-3.4,7.4,1023.4,1024.3,-9.0
202401041000,113,140,8,-9,8000,-9,-9,10,3,3,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.7,-2.9,7.1,1023.6,1024.5,-9.0
202401041100,113,130,8,-9,8000,-9,-9,5,6,6,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.5,-2.9,6.7,1023.6,1024.5,-9.0
202401041200,113,150,8,-9,8000,-9,-9,5,5,5,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.2,-2.7,6.5,1023.1,1023.9,-9.0
202401041300,113,140,9,-9,9000,-9,-9,5,4,4,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.4,-2.7,6.0,1022.0,1022.9,-9.0
202401041400,113,140,8,-9,9000,-9,-9,5,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.6,-1.8,6.3,1021.3,1022.2,-9.0
202401041500,113,160,9,-9,9000,-9,-9,5,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.2,-0.7,6.6,1020.6,1021.5,-9.0
202401041600,113,190,9,-9,9000,-9,-9,5,6,6,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.8,-0.4,6.5,1020.4,1021.3,-9.0
202401041700,113,170,11,-9,9000,-9,-9,5,7,7,6,4000,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.4,0.2,6.9,1020.4,1021.3,-9.0
202401041800,113,180,11,-9,8000,-9,-9,5,6,6,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.1,0.2,7.1,1020.1,1021.0,-9.0
202401041900,113,170,11,-9,8000,-9,-9,5,7,7,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.0,0.8,7.4,1020.0,1020.8,-9.0
202401042000,113,160,10,-9,7000,-9,-9,5,7,7,6,4000,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.9,1.2,7.7,1019.9,1020.8,-9.0
202401042100,113,160,9,-9,6000,-9,-9,5,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.8,1.2,7.8,1019.7,1020.5,-9.0
202401042200,113,160,10,-9,6000,-9,-9,10,6,6,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.5,1.5,8.1,1019.3,1020.2,-9.0
202401042300,113,150,7,-9,6000,-9,-9,10,6,6,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.2,1.5,8.3,1019.2,1020.1,-9.0
202401050000,113,160,9,-9,6000,-9,-9,10,6,6,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.3,1.5,8.2,1019.2,1020.1,-9.0
202401050100,113,170,7,-9,6000,-9,-9,10,6,6,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.7,2.2,8.4,1019.0,1019.9,-9.0
202401050200,113,200,8,-9,7000,-9,-9,10,5,5,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.3,3.4,8.2,1019.0,1019.9,-9.0
202401050300,113,210,7,-9,8000,-9,-9,10,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.8,3.5,8.0,1018.9,1019.8,-9.0
202401050400,113,220,12,-9,9000,-9,-9,10,7,7,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,7.3,3.4,7.6,1018.5,1019.4,-9.0
202401050500,113,260,9,-9,6000,-9,-9,10,7,3,7,1800,7,6,3000,-9,-9,-9,-9,-9,-9,6.8,3.9,8.2,1018.7,1019.5,-9.0
202401050600,113,250,6,-9,5000,-9,-9,10,5,1,7,1600,5,6,3500,-9,-9,-9,-9,-9,-9,5.2,3.1,8.6,1019.0,1019.9,-9.0
202401050700,113,240,5,-9,3500,-9,-9,10,6,6,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.8,3.1,8.9,1019.5,1020.4,-9.0
202401050800,113,240,4,-9,3000,-9,-9,10,6,6,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.0,3.2,8.8,1019.9,1020.8,-9.0
202401050900,113,270,7,-9,3000,-9,-9,10,6,6,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.5,3.2,8.5,1020.5,1021.4,-9.0
202401051000,113,250,5,-9,3500,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.7,3.0,7.8,1020.8,1021.6,-9.0
202401051100,113,260,7,-9,4000,-9,-9,5,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8.0,2.0,6.6,1021.2,1022.0,-9.0
202401051200,113,260,10,-9,4000,-9,-9,5,1,1,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,7.6,2.8,7.2,1020.6,1021.5,-9.0
202401051300,113,270,9,-9,4000,-9,-9,5,1,1,6,2000,-9,-9,-9,-9,-9,-9,-9,-9,-9,7.9,2.2,6.7,1019.9,1020.8,-9.0
202401051400,113,300,8,-9,4000,-9,-9,5,1,1,6,2000,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.5,2.5,7.6,1019.4,1020.3,-9.0
202401051500,113,280,7,-9,3500,-9,-9,5,1,1,7,1800,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.3,2.1,7.4,1019.5,1020.3,-9.0
202401051600,113,260,7,-9,3500,-9,-9,5,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.0,1.0,7.0,1019.6,1020.4,-9.0
202401051700,113,260,7,-9,3000,-9,-9,5,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.9,1.2,7.7,1019.7,1020.5,-9.0
202401051800,113,270,7,-9,3500,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.1,0.7,8.5,1019.9,1020.7,-9.0
202401051900,113,260,10,-9,4000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.7,1.0,8.2,1020.2,1021.1,-9.0
202401052000,113,280,10,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.7,-1.0,7.7,1020.5,1021.4,-9.0
202401052100,113,290,10,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.1,-2.0,7.5,1020.9,1021.8,-9.0
202401052200,113,320,9,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.1,-2.4,7.8,1021.3,1022.2,-9.0
202401052300,113,300,9,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.3,-4.0,7.3,1021.3,1022.2,-9.0
202401060000,113,300,8,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.1,-3.1,8.0,1021.5,1022.4,-9.0
202401060100,113,310,7,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.4,-3.8,7.8,1021.6,1022.4,-9.0
202401060200,113,310,7,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.9,-3.5,8.3,1021.6,1022.5,-9.0
202401060300,113,310,7,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.0,-4.7,7.6,1022.1,1023.0,-9.0
202401060400,113,300,5,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-2.2,-5.4,7.9,1021.9,1022.8,-9.0
202401060500,113,320,5,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.9,-4.5,8.3,1022.0,1022.9,-9.0
202401060600,113,350,4,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.7,-4.4,8.2,1022.1,1023.0,-9.0
202401060700,113,350,5,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-2.3,-6.7,7.2,1022.6,1023.5,-9.0
202401060800,113,330,2,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-2.6,-6.7,7.3,1022.9,1023.7,-9.0
202401060900,113,320,4,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.3,-5.2,6.9,1023.4,1024.3,-9.0
202401061000,113,330,6,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.2,-6.6,5.6,1023.4,1024.3,-9.0
202401061100,113,320,5,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.1,-7.5,4.9,1023.1,1024.0,-9.0
202401061200,113,320,7,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.7,-7.8,4.6,1022.9,1023.7,-9.0
202401061300,113,290,6,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.9,-6.7,4.9,1022.4,1023.3,-9.0
202401061400,113,270,5,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.4,-6.9,4.7,1021.6,1022.5,-9.0
202401061500,113,270,6,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.7,-10.9,3.4,1021.6,1022.4,-9.0
202401061600,113,270,4,-9,10000,-9,-9,-9,1,1,3,9000,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.3,-7.8,4.4,1021.3,1022.2,-9.0
202401061700,113,210,4,-9,10000,-9,-9,-9,5,5,4,8000,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.4,-5.6,5.6,1021.5,1022.3,-9.0
202401061800,113,280,6,-9,1500,1100,1800,71,8,2,7,1000,5,6,2500,8,4,7000,-9,-9,-9,0.7,-0.8,9.0,1022.0,1022.9,0.1
202401061900,113,290,5,-9,8000,-9,-9,70,8,2,7,1000,5,6,2500,8,4,7000,-9,-9,-9,1.0,0.3,9.5,1021.9,1022.8,0.4
202401062000,113,320,14,-9,8000,-9,-9,70,6,2,7,1000,6,6,2500,-9,-9,-9,-9,-9,-9,0.5,-0.4,9.4,1022.0,1022.9,0.2
202401062100,113,320,10,-9,10000,-9,-9,22,3,3,7,1000,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.9,-0.3,9.1,1022.2,1023.1,0.0
202401062200,113,340,9,-9,10000,-9,-9,-9,2,2,7,1000,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.1,-1.7,8.8,1022.7,1023.6,-9.0
202401062300,113,330,13,-9,10000,-9,-9,-9,1,1,7,1000,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.7,-5.5,7.0,1023.3,1024.1,-9.0
202401070000,113,330,12,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.0,-5.6,7.1,1023.5,1024.4,-9.0
202401070100,113,340,11,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.9,-6.1,6.8,1023.5,1024.4,-9.0
202401070200,113,320,11,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.6,-5.9,7.3,1023.6,1024.5,-9.0
202401070300,113,310,11,-9,10000,-9,-9,-9,2,2,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.3,-5.7,7.2,1024.1,1025.0,-9.0
202401070400,113,310,12,-9,10000,-9,-9,-9,2,2,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.9,-6.7,7.0,1024.3,1025.2,-9.0
202401070500,113,320,16,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-2.5,-7.3,7.0,1024.5,1025.4,-9.0
202401070600,113,340,14,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-3.3,-11.6,5.3,1025.0,1025.9,-9.0
202401070700,113,330,15,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-3.5,-13.2,4.7,1025.8,1026.7,-9.0
202401070800,113,330,16,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-3.7,-13.7,4.6,1026.7,1027.6,-9.0
202401070900,113,310,12,-9,10000,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-3.5,-11.8,5.3,1027.6,1028.5,-9.0
